date,value
1971-01-01,24.9
1971-04-01,24.9
1971-07-01,25.1
1971-10-01,25.2
1972-01-01,24.8
1972-04-01,24.8
1972-07-01,24.8
1972-10-01,24.6
1973-01-01,24.3
1973-04-01,24.2
1973-07-01,24.4
1973-10-01,24.4
1974-01-01,24.4
1974-04-01,24.3
1974-07-01,24.1
1974-10-01,24.1
1975-01-01,24.1
1975-04-01,24.0
1975-07-01,23.9
1975-10-01,23.8
1976-01-01,23.9
1976-04-01,23.9
1976-07-01,24.0
1976-10-01,24.0
1977-01-01,24.1
1977-04-01,24.1
1977-07-01,24.1
1977-10-01,24.1
1978-01-01,24.2
1978-04-01,24.3
1978-07-01,24.3
1978-10-01,24.2
1979-01-01,24.2
1979-04-01,24.2
1979-07-01,24.1
1979-10-01,24.1
1980-01-01,24.0
1980-04-01,23.9
1980-07-01,23.9
1980-10-01,23.9
1981-01-01,23.8
1981-04-01,23.9
1981-07-01,24.1
1981-10-01,24.4
1982-01-01,24.6
1982-04-01,24.9
1982-07-01,25.2
1982-10-01,25.5
1983-01-01,25.8
1983-04-01,25.9
1983-07-01,25.4
1983-10-01,24.9
1984-01-01,24.5
1984-04-01,24.2
1984-07-01,24.2
1984-10-01,24.0
1985-01-01,24.0
1985-04-01,23.9
1985-07-01,23.9
1985-10-01,23.8
1986-01-01,23.8
1986-04-01,23.7
1986-07-01,23.5
1986-10-01,23.4
1987-01-01,23.4
1987-04-01,23.2
1987-07-01,23.0
1987-10-01,22.8
1988-01-01,22.6
1988-04-01,22.5
1988-07-01,22.4
1988-10-01,22.2
1989-01-01,22.0
1989-04-01,21.9
1989-07-01,21.9
1989-10-01,21.7
1990-01-01,21.8
1990-04-01,21.7
1990-07-01,21.7
1990-10-01,21.8
1991-01-01,22.0
1991-04-01,22.2
1991-07-01,22.5
1991-10-01,22.9
1992-01-01,23.1
1992-04-01,23.3
1992-07-01,23.4
1992-10-01,23.5
1993-01-01,23.4
1993-04-01,23.6
1993-07-01,23.6
1993-10-01,23.6
1994-01-01,23.6
1994-04-01,23.7
1994-07-01,23.7
1994-10-01,24.1
1995-01-01,24.0
1995-04-01,23.9
1995-07-01,23.7
1995-10-01,23.7
1996-01-01,23.8
1996-04-01,23.7
1996-07-01,23.8
1996-10-01,23.6
1997-01-01,23.6
1997-04-01,23.4
1997-07-01,23.6
1997-10-01,23.8
1998-01-01,23.8
1998-04-01,23.9
1998-07-01,23.6
1998-10-01,23.5
1999-01-01,23.4
1999-04-01,23.4
1999-07-01,23.3
1999-10-01,23.2
2000-01-01,23.2
2000-04-01,23.3
2000-07-01,23.2
2000-10-01,23.5
2001-01-01,23.4
2001-04-01,23.4
2001-07-01,23.5
2001-10-01,23.4
2002-01-01,23.6
2002-04-01,23.3
2002-07-01,23.3
2002-10-01,23.2
2003-01-01,23.3
2003-04-01,23.3
2003-07-01,23.3
2003-10-01,23.5
2004-01-01,23.2
2004-04-01,23.4
2004-07-01,23.5
2004-10-01,23.3
2005-01-01,23.3
2005-04-01,23.4
2005-07-01,23.3
2005-10-01,23.3
2006-01-01,23.0
2006-04-01,22.9
2006-07-01,22.9
2006-10-01,23.0
2007-01-01,23.2
2007-04-01,23.2
2007-07-01,23.2
2007-10-01,23.1
2008-01-01,23.0
2008-04-01,22.9
2008-07-01,23.0
2008-10-01,22.9
2009-01-01,22.8
2009-04-01,23.1
2009-07-01,23.3
2009-10-01,23.4
2010-01-01,23.6
2010-04-01,23.5
2010-07-01,23.2
2010-10-01,23.5
2011-01-01,23.4
2011-04-01,23.3
2011-07-01,23.4
2011-10-01,23.2
2012-01-01,23.1
2012-04-01,22.8
2012-07-01,22.7
2012-10-01,22.4
2013-01-01,22.6
2013-04-01,22.6
2013-07-01,22.3
2013-10-01,22.3
2014-01-01,22.2
2014-04-01,22.2
2014-07-01,22.3
2014-10-01,22.3
2015-01-01,22.2
2015-04-01,22.2
2015-07-01,22.1
2015-10-01,21.9
2016-01-01,21.9
2016-04-01,21.8
2016-07-01,21.8
2016-10-01,21.8
2017-01-01,21.7
2017-04-01,21.5
2017-07-01,21.7
2017-10-01,21.5
2018-01-01,21.3
2018-04-01,21.4
2018-07-01,21.4
2018-10-01,21.2
2019-01-01,21.1
2019-04-01,21.0
2019-07-01,21.1
2019-10-01,20.8
2020-01-01,20.7
2020-04-01,21.3
2020-07-01,21.5
2020-10-01,21.5
2021-01-01,21.7
2021-04-01,21.6
2021-07-01,21.6
2021-10-01,21.7
2022-01-01,21.8
2022-04-01,21.8
2022-07-01,22.0
2022-10-01,21.7
2023-01-01,21.5
2023-04-01,21.4
2023-07-01,21.9
2023-10-01,21.9
