date,value
1981-01-01,195
1982-01-01,
1983-01-01,185
1984-01-01,
1985-01-01,171
1986-01-01,185
1987-01-01,181
1988-01-01,181
1989-01-01,171
1990-01-01,166
1991-01-01,153
1992-01-01,152
1993-01-01,156
1994-01-01,150
1995-01-01,145
1996-01-01,142
1997-01-01,137
1998-01-01,148
1999-01-01,153
2000-01-01,145
2001-01-01,154
2002-01-01,158
2003-01-01,155
2004-01-01,150
2005-01-01,146
2006-01-01,147
2007-01-01,158
2008-01-01,151
2009-01-01,151
2010-01-01,154
2011-01-01,159
2012-01-01,162
2013-01-01,179
2014-01-01,195
2015-01-01,206
2016-01-01,215
2017-01-01,233
2018-01-01,253
2019-01-01,265
2020-01-01,283
