date,value
1987-01-01,2130
1987-04-01,2048
1987-07-01,2126
1987-10-01,2235
1988-01-01,2569
1988-04-01,2177
1988-07-01,2091
1988-10-01,2415
1989-01-01,2813
1989-04-01,2655
1989-07-01,2893
1989-10-01,3087
1990-01-01,3471
1990-04-01,3281
1990-07-01,3528
1990-10-01,3580
1991-01-01,3612
1991-04-01,3545
1991-07-01,3782
1991-10-01,3592
1992-01-01,3577
1992-04-01,3312
1992-07-01,3107
1992-10-01,3090
1993-01-01,3200
1993-04-01,3241
1993-07-01,3233
1993-10-01,3306
1994-01-01,3328
1994-04-01,3271
1994-07-01,3297
1994-10-01,3500
1995-01-01,3333
1995-04-01,3214
1995-07-01,3192
1995-10-01,3129
1996-01-01,2920
1996-04-01,3336
1996-07-01,3192
1996-10-01,2131
1997-01-01,3197
1997-04-01,2927
1997-07-01,3363
1997-10-01,3050
1998-01-01,3391
1998-04-01,3326
1998-07-01,3418
1998-10-01,3378
1999-01-01,3180
1999-04-01,3572
1999-07-01,3303
1999-10-01,2978
2000-01-01,3583
2000-04-01,3551
2000-07-01,93
2000-10-01,3040
2001-01-01,2616
2001-04-01,3088
2001-07-01,3982
2001-10-01,3770
2002-01-01,3575
2002-04-01,2184
2002-07-01,4137
2002-10-01,4541
2003-01-01,4406
2003-04-01,3568
2003-07-01,3864
2003-10-01,4054
2004-01-01,5424
2004-04-01,5450
2004-07-01,5284
2004-10-01,5271
2005-01-01,6377
2005-04-01,-9431
2005-07-01,5607
2005-10-01,5527
2006-01-01,5013
2006-04-01,6303
2006-07-01,6345
2006-10-01,6401
2007-01-01,5784
2007-04-01,6440
2007-07-01,6117
2007-10-01,7234
2008-01-01,7994
2008-04-01,7198
2008-07-01,7483
2008-10-01,8022
2009-01-01,7834
2009-04-01,7890
2009-07-01,8839
2009-10-01,8443
2010-01-01,8397
2010-04-01,8034
2010-07-01,8117
2010-10-01,7834
2011-01-01,8178
2011-04-01,6677
2011-07-01,7153
2011-10-01,6896
2012-01-01,7042
2012-04-01,7177
2012-07-01,6652
2012-10-01,6607
2013-01-01,6108
2013-04-01,6417
2013-07-01,6914
2013-10-01,7318
2014-01-01,8107
2014-04-01,7557
2014-07-01,8224
2014-10-01,8491
2015-01-01,8607
2015-04-01,8786
2015-07-01,7928
2015-10-01,7860
2016-01-01,8472
2016-04-01,7743
2016-07-01,7900
2016-10-01,7847
2017-01-01,7773
2017-04-01,9647
2017-07-01,9774
2017-10-01,9518
2018-01-01,8856
2018-04-01,8994
2018-07-01,9673
2018-10-01,9499
2019-01-01,10269
2019-04-01,9655
2019-07-01,10093
2019-10-01,10206
2020-01-01,9940
2020-04-01,12048
2020-07-01,12104
2020-10-01,12174
2021-01-01,12393
2021-04-01,12369
2021-07-01,12761
2021-10-01,13071
2022-01-01,14124
2022-04-01,12948
2022-07-01,13852
2022-10-01,15429
2023-01-01,16794
2023-04-01,15787
2023-07-01,16475
