date,value
1955-01-01,14969
1955-04-01,15324
1955-07-01,15861
1955-10-01,16205
1956-01-01,16461
1956-04-01,16758
1956-07-01,16978
1956-10-01,17276
1957-01-01,17660
1957-04-01,17726
1957-07-01,17688
1957-10-01,18077
1958-01-01,18727
1958-04-01,18782
1958-07-01,18994
1958-10-01,19114
1959-01-01,18970
1959-04-01,20202
1959-07-01,20393
1959-10-01,22080
1960-01-01,22788
1960-04-01,23452
1960-07-01,23888
1960-10-01,24647
1961-01-01,25266
1961-04-01,25693
1961-07-01,26062
1961-10-01,25426
1962-01-01,25626
1962-04-01,26205
1962-07-01,26085
1962-10-01,25479
1963-01-01,23515
1963-04-01,26708
1963-07-01,27256
1963-10-01,28341
1964-01-01,29743
1964-04-01,30569
1964-07-01,31028
1964-10-01,31617
1965-01-01,32197
1965-04-01,31770
1965-07-01,32030
1965-10-01,32719
1966-01-01,32075
1966-04-01,31761
1966-07-01,32245
1966-10-01,32360
1967-01-01,33672
1967-04-01,35259
1967-07-01,35416
1967-10-01,35304
1968-01-01,38014
1968-04-01,37638
1968-07-01,38683
1968-10-01,40635
1969-01-01,37520
1969-04-01,37734
1969-07-01,39079
1969-10-01,39269
1970-01-01,38089
1970-04-01,39700
1970-07-01,40156
1970-10-01,41365
1971-01-01,40579
1971-04-01,42575
1971-07-01,43553
1971-10-01,44186
1972-01-01,43781
1972-04-01,45230
1972-07-01,45116
1972-10-01,44980
1973-01-01,47315
1973-04-01,45755
1973-07-01,44849
1973-10-01,44646
1974-01-01,44251
1974-04-01,41823
1974-07-01,41363
1974-10-01,41542
1975-01-01,40443
1975-04-01,40270
1975-07-01,39673
1975-10-01,38533
1976-01-01,40457
1976-04-01,40086
1976-07-01,39606
1976-10-01,39883
1977-01-01,38864
1977-04-01,41024
1977-07-01,40580
1977-10-01,42079
1978-01-01,43560
1978-04-01,43639
1978-07-01,43606
1978-10-01,43752
1979-01-01,45999
1979-04-01,47062
1979-07-01,47936
1979-10-01,48608
1980-01-01,46263
1980-04-01,44461
1980-07-01,43674
1980-10-01,43053
1981-01-01,40673
1981-04-01,41620
1981-07-01,41966
1981-10-01,41460
1982-01-01,41386
1982-04-01,43277
1982-07-01,44541
1982-10-01,45037
1983-01-01,46370
1983-04-01,45818
1983-07-01,46258
1983-10-01,48413
1984-01-01,49453
1984-04-01,49645
1984-07-01,49723
1984-10-01,50096
1985-01-01,53861
1985-04-01,49474
1985-07-01,49904
1985-10-01,49710
1986-01-01,49176
1986-04-01,47819
1986-07-01,50498
1986-10-01,52948
1987-01-01,51615
1987-04-01,54107
1987-07-01,59096
1987-10-01,60521
1988-01-01,63524
1988-04-01,65224
1988-07-01,65803
1988-10-01,65739
1989-01-01,69251
1989-04-01,67897
1989-07-01,68657
1989-10-01,67315
1990-01-01,67750
1990-04-01,66791
1990-07-01,66185
1990-10-01,65453
1991-01-01,62473
1991-04-01,61542
1991-07-01,60419
1991-10-01,60643
1992-01-01,60802
1992-04-01,60439
1992-07-01,60669
1992-10-01,59216
1993-01-01,60645
1993-04-01,60305
1993-07-01,60379
1993-10-01,61643
1994-01-01,62385
1994-04-01,61140
1994-07-01,61551
1994-10-01,61890
1995-01-01,61060
1995-04-01,61177
1995-07-01,61619
1995-10-01,61941
1996-01-01,63561
1996-04-01,65708
1996-07-01,65162
1996-10-01,62889
1997-01-01,59050
1997-04-01,59674
1997-07-01,63121
1997-10-01,64613
1998-01-01,65130
1998-04-01,65092
1998-07-01,64537
1998-10-01,65884
1999-01-01,65850
1999-04-01,65923
1999-07-01,66985
1999-10-01,66375
2000-01-01,69114
2000-04-01,73074
2000-07-01,68011
2000-10-01,70115
2001-01-01,70186
2001-04-01,72760
2001-07-01,72699
2001-10-01,70239
2002-01-01,70130
2002-04-01,70128
2002-07-01,73834
2002-10-01,77492
2003-01-01,77778
2003-04-01,72951
2003-07-01,74012
2003-10-01,74176
2004-01-01,76337
2004-04-01,75848
2004-07-01,77191
2004-10-01,77494
2005-01-01,78969
2005-04-01,80832
2005-07-01,80052
2005-10-01,79646
2006-01-01,80595
2006-04-01,80940
2006-07-01,83735
2006-10-01,83427
2007-01-01,84438
2007-04-01,86522
2007-07-01,83075
2007-10-01,88993
2008-01-01,84847
2008-04-01,85799
2008-07-01,81323
2008-10-01,79978
2009-01-01,75261
2009-04-01,72063
2009-07-01,72551
2009-10-01,71335
2010-01-01,75138
2010-04-01,74022
2010-07-01,76899
2010-10-01,78973
2011-01-01,75922
2011-04-01,75107
2011-07-01,76824
2011-10-01,77501
2012-01-01,78655
2012-04-01,76645
2012-07-01,75936
2012-10-01,78986
2013-01-01,76695
2013-04-01,79896
2013-07-01,81862
2013-10-01,81850
2014-01-01,84610
2014-04-01,84341
2014-07-01,85844
2014-10-01,88045
2015-01-01,91127
2015-04-01,91529
2015-07-01,90849
2015-10-01,93835
2016-01-01,94838
2016-04-01,95631
2016-07-01,98329
2016-10-01,97427
2017-01-01,99077
2017-04-01,100304
2017-07-01,99419
2017-10-01,100952
2018-01-01,100378
2018-04-01,99211
2018-07-01,99191
2018-10-01,99058
2019-01-01,102105
2019-04-01,101275
2019-07-01,102100
2019-10-01,100943
2020-01-01,97191
2020-04-01,78563
2020-07-01,90756
2020-10-01,96147
2021-01-01,93777
2021-04-01,98872
2021-07-01,98233
2021-10-01,98770
2022-01-01,103833
2022-04-01,104294
2022-07-01,106086
2022-10-01,106689
2023-01-01,109400
2023-04-01,108454
2023-07-01,106955
2023-10-01,108474
