date,value
1997-01-01,26209
1997-04-01,27026
1997-07-01,28661
1997-10-01,29691
1998-01-01,30095
1998-04-01,29732
1998-07-01,29391
1998-10-01,30877
1999-01-01,31213
1999-04-01,30235
1999-07-01,31628
1999-10-01,31309
2000-01-01,32148
2000-04-01,35115
2000-07-01,32146
2000-10-01,33831
2001-01-01,34338
2001-04-01,34130
2001-07-01,33140
2001-10-01,31916
2002-01-01,31911
2002-04-01,31989
2002-07-01,33518
2002-10-01,34532
2003-01-01,34691
2003-04-01,32326
2003-07-01,32489
2003-10-01,32228
2004-01-01,32329
2004-04-01,30420
2004-07-01,31540
2004-10-01,31863
2005-01-01,32176
2005-04-01,48915
2005-07-01,33812
2005-10-01,34043
2006-01-01,35611
2006-04-01,34906
2006-07-01,36524
2006-10-01,36637
2007-01-01,38345
2007-04-01,39875
2007-07-01,37665
2007-10-01,41324
2008-01-01,38400
2008-04-01,40661
2008-07-01,39181
2008-10-01,38287
2009-01-01,35041
2009-04-01,33478
2009-07-01,32541
2009-10-01,32049
2010-01-01,33507
2010-04-01,32808
2010-07-01,34068
2010-10-01,36314
2011-01-01,34031
2011-04-01,36011
2011-07-01,37307
2011-10-01,38377
2012-01-01,39894
2012-04-01,38328
2012-07-01,38191
2012-10-01,40692
2013-01-01,39885
2013-04-01,40717
2013-07-01,42846
2013-10-01,42669
2014-01-01,43245
2014-04-01,43623
2014-07-01,43957
2014-10-01,44970
2015-01-01,48423
2015-04-01,47240
2015-07-01,47458
2015-10-01,49993
2016-01-01,51679
2016-04-01,52156
2016-07-01,53914
2016-10-01,52222
2017-01-01,53842
2017-04-01,54354
2017-07-01,53416
2017-10-01,54812
2018-01-01,54746
2018-04-01,53197
2018-07-01,54231
2018-10-01,55463
2019-01-01,56513
2019-04-01,57668
2019-07-01,57242
2019-10-01,57157
2020-01-01,56591
2020-04-01,46530
2020-07-01,51157
2020-10-01,53085
2021-01-01,50004
2021-04-01,52670
2021-07-01,56612
2021-10-01,56693
2022-01-01,58771
2022-04-01,61007
2022-07-01,62498
2022-10-01,63419
2023-01-01,66535
2023-04-01,67610
2023-07-01,65805
