date,value
1981-01-01,2.01
1983-01-01,1.85
1985-01-01,1.84
1986-01-01,1.85
1987-01-01,1.76
1988-01-01,1.71
1989-01-01,1.72
1990-01-01,1.73
1991-01-01,1.67
1992-01-01,1.66
1993-01-01,1.68
1994-01-01,1.66
1995-01-01,1.61
1996-01-01,1.56
1997-01-01,1.51
1998-01-01,1.52
1999-01-01,1.6
2000-01-01,1.59
2001-01-01,1.6
2002-01-01,1.58
2003-01-01,1.54
2004-01-01,1.5
2005-01-01,1.54
2006-01-01,1.53
2007-01-01,1.56
2008-01-01,1.59
2009-01-01,1.62
2010-01-01,1.59
2011-01-01,1.63
2012-01-01,1.56
2013-01-01,1.59
2014-01-01,1.62
2015-01-01,1.63
2016-01-01,1.65
2017-01-01,1.67
2018-01-01,1.72
2019-01-01,1.74
