Country,TIME_PERIOD,OBS_VALUE,Country Code,Indicator Name,Indicator Code,GDP_per_capita
United States,2022,51.255699,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,72165.4834696586
Italy,2022,29.203739,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,52060.332886954
Germany,2022,37.280796,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,62605.4730386799
United States,1998,36.195801,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,51639.1871337683
Italy,1998,8.9524889,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,47889.15773677
United States,1999,37.368931,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,53494.0566028874
Italy,1999,9.9974318,ITA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48659.5193607039
United Kingdom,1997,24.681225,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40702.7552189838
Japan,1997,45.744064,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39027.3655750384
Spain,2000,33.978283,ESP,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,39565.1933957311
Germany,2003,21.799734,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,49984.3544223018
United Kingdom,2004,34.897144,GBR,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48534.6528644697
Japan,2004,52.640175,JPN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,40573.3302644675
France,2002,36.053307,FRA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48372.4580024461
Canada,2002,51.629013,CAN,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,48943.5412414992
Germany,2002,21.739561,DEU,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,50364.6463670596
United States,2006,39.239269,USA,"GDP per capita, PPP (constant 2021 international $)",NY.GDP.PCAP.PP.KD,60699.2720850035
