STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,SUBJECT,Subject,MEASURE,Measure,FREQUENCY,Frequency,TIME_PERIOD,Time,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GFCFSECTOR,Investment by sector,CORP,Corporate,PC_GFCF,% of GFCF,A,Annual,1990,,51.4717045468384,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FIN,Finland,GFCFSECTOR,Investment by sector,GG,General government,PC_GFCF,% of GFCF,A,Annual,1990,,15.1689139131723,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NOR,Norway,GFCFSECTOR,Investment by sector,HH,Household,PC_GFCF,% of GFCF,A,Annual,1990,,20.4600802424795,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NZL,New Zealand,GFCFSECTOR,Investment by sector,GG,General government,PC_GFCF,% of GFCF,A,Annual,1990,,13.5531833778117,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,AUS,Australia,GFCFSECTOR,Investment by sector,HH,Household,PC_GFCF,% of GFCF,A,Annual,1990,,37.1024804241516,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,NZL,New Zealand,GFCF,Investment (GFCF),TOT,Total,MLN_USD,Million US dollars,A,Annual,1990,,10237.228,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GFCF,Investment (GFCF),TOT,Total,AGRWTH,Annual growth rate (%),A,Annual,1990,,-0.242435,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,GBR,United Kingdom,GDP,Gross domestic product (GDP),TOT,Total,MLN_USD,Million US dollars,A,Annual,1990,,976326.049,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CHE,Switzerland,GDP,Gross domestic product (GDP),TOT,Total,MLN_USD,Million US dollars,A,Annual,1990,,191004.986,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GDP,Gross domestic product (GDP),TOT,Total,MLN_USD,Million US dollars,A,Annual,1990,,560184.877,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GFCFSECTOR,Investment by sector,CORP,Corporate,PC_GFCF,% of GFCF,A,Annual,1990,,47.9172739076287,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,CAN,Canada,GFCFSECTOR,Investment by sector,HH,Household,PC_GFCF,% of GFCF,A,Annual,1990,,34.7763586740507,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GFCFSECTOR,Investment by sector,HH,Household,PC_GFCF,% of GFCF,A,Annual,1990,,28.7935310760837,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,ISR,Israel,GFCF,Investment (GFCF),TOT,Total,MLN_USD,Million US dollars,A,Annual,1990,,14257.144,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,FRA,France,GFCF,Investment (GFCF),TOT,Total,MLN_USD,Million US dollars,A,Annual,1990,,240198.421,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,DNK,Denmark,GFCF,Investment (GFCF),TOT,Total,MLN_USD,Million US dollars,A,Annual,1990,,19135.576,,A,,,,,,,
DATAFLOW,OECD:DF_DP_LIVE(1.0),OECD Data Archive,I,SWE,Sweden,GFCFSECTOR,Investment by sector,GG,General government,PC_GFCF,% of GFCF,A,Annual,1992,,22.7407183150621,,A,,,,,,,
