ITL code,Region name,date,value,label
TLC,North East,2000,1.0,
TLD,North West,2000,1.0,
TLE,Yorkshire and The Humber,2000,1.0,
TLF,East Midlands,2000,1.0,
TLG,West Midlands,2000,1.0,
TLH,East,2000,1.0,
TLI,London,2000,1.0,
TLJ,South East,2000,1.0,
TLK,South West,2000,1.0,
TLL,Wales,2000,1.0,
TLM,Scotland,2000,1.0,
TLN,Northern Ireland,2000,1.0,
TLC,North East,2001,1.0415422390337779,
TLD,North West,2001,1.0412300019930738,
TLE,Yorkshire and The Humber,2001,1.0390015195391664,
TLF,East Midlands,2001,1.0255288319952107,
TLG,West Midlands,2001,1.0278261036130187,
TLH,East,2001,1.030939062509019,
TLI,London,2001,1.013503335964075,
TLJ,South East,2001,1.0179976927211314,
TLK,South West,2001,1.038743940475499,
TLL,Wales,2001,1.0251549362612935,
TLM,Scotland,2001,1.0391094835215957,
TLN,Northern Ireland,2001,1.0238422142312302,
TLC,North East,2002,1.0867830027028391,
TLD,North West,2002,1.065983404200901,
TLE,Yorkshire and The Humber,2002,1.0699533421468401,
TLF,East Midlands,2002,1.0380672353542777,
TLG,West Midlands,2002,1.036192385513486,
TLH,East,2002,1.0415252936541908,
TLI,London,2002,1.029810159948609,
TLJ,South East,2002,1.0375377826619532,
TLK,South West,2002,1.051703325800413,
TLL,Wales,2002,1.0429762286593298,
TLM,Scotland,2002,1.0523786339560246,
TLN,Northern Ireland,2002,1.0298826103460392,
TLC,North East,2003,1.1267046585705753,
TLD,North West,2003,1.0995261056072525,
TLE,Yorkshire and The Humber,2003,1.1148420230764675,
TLF,East Midlands,2003,1.067641754704167,
TLG,West Midlands,2003,1.0597333561600801,
TLH,East,2003,1.0833246667450576,
TLI,London,2003,1.072157226152193,
TLJ,South East,2003,1.0636515811555243,
TLK,South West,2003,1.0744445399422136,
TLL,Wales,2003,1.0816125516933053,
TLM,Scotland,2003,1.0847207162058947,
TLN,Northern Ireland,2003,1.0759299554922992,
TLC,North East,2004,1.1911054131933385,
TLD,North West,2004,1.137065579059462,
TLE,Yorkshire and The Humber,2004,1.1465926160852014,
TLF,East Midlands,2004,1.0972060451887802,
TLG,West Midlands,2004,1.0804736778099262,
TLH,East,2004,1.0937751950337589,
TLI,London,2004,1.1006499681391224,
TLJ,South East,2004,1.072388685458547,
TLK,South West,2004,1.09864490869815,
TLL,Wales,2004,1.1112587820758155,
TLM,Scotland,2004,1.1200003893900092,
TLN,Northern Ireland,2004,1.1006978733878405,
TLC,North East,2005,1.209079939993599,
TLD,North West,2005,1.1657660624388333,
TLE,Yorkshire and The Humber,2005,1.1658888303424808,
TLF,East Midlands,2005,1.1228862926651046,
TLG,West Midlands,2005,1.0950296621176567,
TLH,East,2005,1.1317486301850102,
TLI,London,2005,1.1671358501421818,
TLJ,South East,2005,1.107348891999684,
TLK,South West,2005,1.1184665789149089,
TLL,Wales,2005,1.1240999196361703,
TLM,Scotland,2005,1.1611466078529096,
TLN,Northern Ireland,2005,1.136750881316099,
TLC,North East,2006,1.245853331702282,
TLD,North West,2006,1.2078894463698597,
TLE,Yorkshire and The Humber,2006,1.1947789160488178,
TLF,East Midlands,2006,1.1652770249766622,
