date,value
1977-01-01,25.5
1978-01-01,25.0
1979-01-01,25.4
1980-01-01,26.7
1981-01-01,27.4
1982-01-01,27.6
1983-01-01,28.3
1984-01-01,27.0
1985-01-01,29.6
1986-01-01,30.1
1987-01-01,31.5
1988-01-01,33.3
1989-01-01,32.7
1990-01-01,34.9
1991-01-01,33.9
1992-01-01,33.4
1993-01-01,33.7
1994-04-01,32.5
1995-04-01,32.3
1996-04-01,33.2
1997-04-01,33.4
1998-04-01,34.4
1999-04-01,35.1
2000-04-01,34.3
2001-04-01,35.9
2002-04-01,34.8
2003-04-01,34.0
2004-04-01,34.3
2005-04-01,35.9
2006-04-01,37.0
2007-04-01,38.6
2008-04-01,35.6
2009-04-01,36.6
2010-04-01,34.1
2011-04-01,33.8
2012-04-01,34.4
2013-04-01,35.3
2014-04-01,34.7
2015-04-01,35.1
2016-04-01,33.4
2017-04-01,35.0
2018-04-01,36.0
2019-04-01,35.4
2020-04-01,34.4
2021-04-01,35.7
