date,value
1955-01-01,71.7
1955-04-01,72.0
1955-07-01,71.5
1955-10-01,71.5
1956-01-01,71.1
1956-04-01,72.5
1956-07-01,72.2
1956-10-01,71.6
1957-01-01,72.8
1957-04-01,71.6
1957-07-01,71.7
1957-10-01,70.6
1958-01-01,70.1
1958-04-01,70.7
1958-07-01,70.4
1958-10-01,70.7
1959-01-01,70.7
1959-04-01,70.3
1959-07-01,70.0
1959-10-01,69.4
1960-01-01,67.5
1960-04-01,68.6
1960-07-01,68.7
1960-10-01,68.4
1961-01-01,68.5
1961-04-01,70.3
1961-07-01,67.9
1961-10-01,70.9
1962-01-01,69.6
1962-04-01,69.9
1962-07-01,69.6
1962-10-01,69.4
1963-01-01,72.2
1963-04-01,69.8
1963-07-01,70.2
1963-10-01,69.3
1964-01-01,70.4
1964-04-01,69.6
1964-07-01,69.6
1964-10-01,70.1
1965-01-01,69.4
1965-04-01,70.0
1965-07-01,70.2
1965-10-01,70.4
1966-01-01,71.1
1966-04-01,71.2
1966-07-01,70.1
1966-10-01,70.5
1967-01-01,69.9
1967-04-01,69.7
1967-07-01,71.1
1967-10-01,70.6
1968-01-01,70.3
1968-04-01,69.2
1968-07-01,68.2
1968-10-01,68.4
1969-01-01,67.9
1969-04-01,68.1
1969-07-01,67.6
1969-10-01,67.5
1970-01-01,67.6
1970-04-01,67.5
1970-07-01,67.5
1970-10-01,66.1
1971-01-01,66.1
1971-04-01,66.2
1971-07-01,65.8
1971-10-01,65.4
1972-01-01,65.8
1972-04-01,65.4
1972-07-01,65.2
1972-10-01,64.5
1973-01-01,63.1
1973-04-01,64.8
1973-07-01,65.7
1973-10-01,65.4
1974-01-01,67.8
1974-04-01,66.7
1974-07-01,67.8
1974-10-01,69.1
1975-01-01,70.7
1975-04-01,70.9
1975-07-01,71.9
1975-10-01,69.8
1976-01-01,69.5
1976-04-01,70.0
1976-07-01,69.4
1976-10-01,67.2
1977-01-01,65.8
1977-04-01,65.1
1977-07-01,64.7
1977-10-01,64.3
1978-01-01,63.5
1978-04-01,64.0
1978-07-01,63.6
1978-10-01,63.6
1979-01-01,63.6
1979-04-01,62.7
1979-07-01,63.2
1979-10-01,63.1
1980-01-01,63.1
1980-04-01,64.0
1980-07-01,65.0
1980-10-01,63.8
1981-01-01,64.1
1981-04-01,63.5
1981-07-01,62.3
1981-10-01,61.7
1982-01-01,62.4
1982-04-01,60.7
1982-07-01,60.4
1982-10-01,59.7
1983-01-01,58.7
1983-04-01,59.1
1983-07-01,58.7
1983-10-01,58.2
1984-01-01,58.9
1984-04-01,58.4
1984-07-01,58.7
1984-10-01,57.9
1985-01-01,58.2
1985-04-01,56.4
1985-07-01,57.2
1985-10-01,56.8
1986-01-01,57.5
1986-04-01,58.3
1986-07-01,58.1
1986-10-01,57.0
1987-01-01,56.7
1987-04-01,55.9
1987-07-01,54.8
1987-10-01,55.4
1988-01-01,55.3
1988-04-01,55.3
1988-07-01,55.2
1988-10-01,55.3
1989-01-01,55.0
1989-04-01,55.6
1989-07-01,55.4
1989-10-01,55.7
1990-01-01,56.1
1990-04-01,56.2
1990-07-01,55.9
1990-10-01,56.1
1991-01-01,56.5
1991-04-01,56.7
1991-07-01,57.5
1991-10-01,57.8
1992-01-01,57.7
1992-04-01,57.2
1992-07-01,57.4
1992-10-01,57.0
1993-01-01,55.8
1993-04-01,56.4
1993-07-01,55.9
1993-10-01,55.9
1994-01-01,55.1
1994-04-01,54.9
1994-07-01,55.3
1994-10-01,54.9
1995-01-01,55.1
1995-04-01,55.5
1995-07-01,54.8
1995-10-01,54.9
1996-01-01,54.6
1996-04-01,54.0
1996-07-01,53.7
1996-10-01,53.5
1997-01-01,54.5
1997-04-01,55.6
1997-07-01,54.7
1997-10-01,56.1
1998-01-01,54.9
1998-04-01,55.6
1998-07-01,56.2
1998-10-01,55.8
1999-01-01,57.2
1999-04-01,57.9
1999-07-01,58.5
1999-10-01,57.8
2000-01-01,57.5
2000-04-01,58.5
2000-07-01,59.3
2000-10-01,60.2
2001-01-01,60.6
2001-04-01,59.8
2001-07-01,59.8
2001-10-01,60.2
2002-01-01,59.8
2002-04-01,59.4
2002-07-01,59.0
2002-10-01,58.6
2003-01-01,58.7
2003-04-01,58.3
2003-07-01,58.5
2003-10-01,59.2
2004-01-01,60.1
2004-04-01,59.0
2004-07-01,59.7
2004-10-01,59.4
2005-01-01,60.1
2005-04-01,58.9
2005-07-01,59.5
2005-10-01,58.8
2006-01-01,60.1
2006-04-01,58.8
2006-07-01,59.2
2006-10-01,60.7
2007-01-01,61.4
2007-04-01,59.9
2007-07-01,60.6
2007-10-01,59.9
2008-01-01,60.2
2008-04-01,59.2
2008-07-01,58.5
2008-10-01,58.7
2009-01-01,59.1
2009-04-01,60.1
2009-07-01,59.8
2009-10-01,61.1
2010-01-01,60.6
2010-04-01,60.6
2010-07-01,59.9
2010-10-01,59.7
2011-01-01,60.4
2011-04-01,60.2
2011-07-01,59.8
2011-10-01,59.1
2012-01-01,59.4
2012-04-01,59.5
2012-07-01,58.9
2012-10-01,59.0
2013-01-01,58.4
2013-04-01,59.7
2013-07-01,59.4
2013-10-01,59.6
2014-01-01,59.5
2014-04-01,58.6
2014-07-01,57.2
2014-10-01,57.6
2015-01-01,58.1
2015-04-01,58.4
2015-07-01,59.0
2015-10-01,58.4
2016-01-01,58.3
2016-04-01,58.7
2016-07-01,58.3
2016-10-01,57.8
2017-01-01,57.9
2017-04-01,58.5
2017-07-01,58.6
2017-10-01,57.9
2018-01-01,58.7
2018-04-01,58.4
2018-07-01,58.8
2018-10-01,59.1
2019-01-01,59.4
2019-04-01,59.7
2019-07-01,59.0
2019-10-01,58.5
2020-01-01,59.4
2020-04-01,59.3
2020-07-01,58.5
2020-10-01,60.0
2021-01-01,60.0
2021-04-01,59.2
2021-07-01,59.9
2021-10-01,60.0
2022-01-01,59.8
2022-04-01,59.2
2022-07-01,59.5
2022-10-01,58.1
2023-01-01,56.9
2023-04-01,57.6
