"Title","Labour share of income: Whole economy SA: percentage: UK"
"CDID","FZLN"
"Source dataset ID","UCST"
"PreUnit",""
"Unit",""
"Release date","24-10-2023"
"Next release","15 January 2024"
"Important notes",
"1955","71.7"
"1956","71.9"
"1957","71.7"
"1958","70.5"
"1959","70.1"
"1960","68.3"
"1961","69.4"
"1962","69.6"
"1963","70.3"
"1964","69.9"
"1965","70.0"
"1966","70.7"
"1967","70.3"
"1968","69.0"
"1969","67.8"
"1970","67.1"
"1971","65.8"
"1972","65.2"
"1973","64.8"
"1974","67.9"
"1975","70.8"
"1976","69.0"
"1977","65.0"
"1978","63.7"
"1979","63.1"
"1980","64.0"
"1981","62.9"
"1982","60.8"
"1983","58.7"
"1984","58.5"
"1985","57.1"
"1986","57.7"
"1987","55.7"
"1988","55.3"
"1989","55.4"
"1990","56.1"
"1991","57.1"
"1992","57.3"
"1993","56.0"
"1994","55.1"
"1995","55.1"
"1996","53.9"
"1997","55.3"
"1998","55.6"
"1999","57.8"
"2000","58.9"
"2001","60.1"
"2002","59.2"
"2003","58.7"
"2004","59.5"
"2005","59.3"
"2006","59.7"
"2007","60.4"
"2008","59.2"
"2009","60.0"
"2010","60.2"
"2011","59.9"
"2012","59.2"
"2013","59.3"
"2014","58.2"
"2015","58.4"
"2016","58.3"
"2017","58.2"
"2018","58.7"
"2019","59.2"
"2020","59.3"
"2021","59.8"
"2022","59.2"
"1955 Q1","71.7"
"1955 Q2","72.0"
"1955 Q3","71.5"
"1955 Q4","71.5"
"1956 Q1","71.1"
"1956 Q2","72.5"
"1956 Q3","72.2"
"1956 Q4","71.6"
"1957 Q1","72.8"
"1957 Q2","71.6"
"1957 Q3","71.7"
"1957 Q4","70.6"
"1958 Q1","70.1"
"1958 Q2","70.7"
"1958 Q3","70.4"
"1958 Q4","70.7"
"1959 Q1","70.7"
"1959 Q2","70.3"
"1959 Q3","70.0"
"1959 Q4","69.4"
"1960 Q1","67.5"
"1960 Q2","68.6"
"1960 Q3","68.7"
"1960 Q4","68.4"
"1961 Q1","68.5"
"1961 Q2","70.3"
"1961 Q3","67.9"
"1961 Q4","70.9"
"1962 Q1","69.6"
"1962 Q2","69.9"
"1962 Q3","69.6"
"1962 Q4","69.4"
"1963 Q1","72.2"
"1963 Q2","69.8"
"1963 Q3","70.2"
"1963 Q4","69.3"
"1964 Q1","70.4"
"1964 Q2","69.6"
"1964 Q3","69.6"
"1964 Q4","70.1"
"1965 Q1","69.4"
"1965 Q2","70.0"
"1965 Q3","70.2"
"1965 Q4","70.4"
"1966 Q1","71.1"
"1966 Q2","71.2"
"1966 Q3","70.1"
"1966 Q4","70.5"
"1967 Q1","69.9"
"1967 Q2","69.7"
"1967 Q3","71.1"
"1967 Q4","70.6"
"1968 Q1","70.3"
"1968 Q2","69.2"
"1968 Q3","68.2"
"1968 Q4","68.4"
"1969 Q1","67.9"
"1969 Q2","68.1"
"1969 Q3","67.6"
"1969 Q4","67.5"
"1970 Q1","67.6"
"1970 Q2","67.5"
"1970 Q3","67.5"
"1970 Q4","66.1"
"1971 Q1","66.1"
"1971 Q2","66.2"
"1971 Q3","65.8"
"1971 Q4","65.4"
"1972 Q1","65.8"
"1972 Q2","65.4"
"1972 Q3","65.2"
"1972 Q4","64.5"
"1973 Q1","63.1"
"1973 Q2","64.8"
"1973 Q3","65.7"
"1973 Q4","65.4"
"1974 Q1","67.8"
"1974 Q2","66.7"
"1974 Q3","67.8"
"1974 Q4","69.1"
"1975 Q1","70.7"
"1975 Q2","70.9"
"1975 Q3","71.9"
"1975 Q4","69.8"
"1976 Q1","69.5"
"1976 Q2","70.0"
"1976 Q3","69.4"
"1976 Q4","67.2"
"1977 Q1","65.8"
"1977 Q2","65.1"
"1977 Q3","64.7"
"1977 Q4","64.3"
"1978 Q1","63.5"
"1978 Q2","64.0"
"1978 Q3","63.6"
"1978 Q4","63.6"
"1979 Q1","63.6"
"1979 Q2","62.7"
"1979 Q3","63.2"
"1979 Q4","63.1"
"1980 Q1","63.1"
"1980 Q2","64.0"
"1980 Q3","65.0"
"1980 Q4","63.8"
"1981 Q1","64.1"
"1981 Q2","63.5"
"1981 Q3","62.3"
"1981 Q4","61.7"
"1982 Q1","62.4"
"1982 Q2","60.7"
"1982 Q3","60.4"
"1982 Q4","59.7"
"1983 Q1","58.7"
"1983 Q2","59.1"
"1983 Q3","58.7"
"1983 Q4","58.2"
"1984 Q1","58.9"
"1984 Q2","58.4"
"1984 Q3","58.7"
"1984 Q4","57.9"
"1985 Q1","58.2"
"1985 Q2","56.4"
"1985 Q3","57.2"
"1985 Q4","56.8"
"1986 Q1","57.5"
"1986 Q2","58.3"
"1986 Q3","58.1"
"1986 Q4","57.0"
"1987 Q1","56.7"
"1987 Q2","55.9"
"1987 Q3","54.8"
"1987 Q4","55.4"
"1988 Q1","55.3"
"1988 Q2","55.3"
"1988 Q3","55.2"
"1988 Q4","55.3"
"1989 Q1","55.0"
"1989 Q2","55.6"
"1989 Q3","55.4"
"1989 Q4","55.7"
"1990 Q1","56.1"
"1990 Q2","56.2"
"1990 Q3","55.9"
"1990 Q4","56.1"
"1991 Q1","56.5"
"1991 Q2","56.7"
"1991 Q3","57.5"
"1991 Q4","57.8"
"1992 Q1","57.7"
"1992 Q2","57.2"
"1992 Q3","57.4"
"1992 Q4","57.0"
"1993 Q1","55.8"
"1993 Q2","56.4"
"1993 Q3","55.9"
"1993 Q4","55.9"
"1994 Q1","55.1"
"1994 Q2","54.9"
"1994 Q3","55.3"
"1994 Q4","54.9"
"1995 Q1","55.1"
"1995 Q2","55.5"
"1995 Q3","54.8"
"1995 Q4","54.9"
"1996 Q1","54.6"
"1996 Q2","54.0"
"1996 Q3","53.7"
"1996 Q4","53.5"
"1997 Q1","54.5"
"1997 Q2","55.6"
"1997 Q3","54.7"
"1997 Q4","56.1"
"1998 Q1","54.9"
"1998 Q2","55.6"
"1998 Q3","56.2"
"1998 Q4","55.8"
"1999 Q1","57.2"
"1999 Q2","57.9"
"1999 Q3","58.5"
"1999 Q4","57.8"
"2000 Q1","57.5"
"2000 Q2","58.5"
"2000 Q3","59.3"
"2000 Q4","60.2"
"2001 Q1","60.6"
"2001 Q2","59.8"
"2001 Q3","59.8"
"2001 Q4","60.2"
"2002 Q1","59.8"
"2002 Q2","59.4"
"2002 Q3","59.0"
"2002 Q4","58.6"
"2003 Q1","58.7"
"2003 Q2","58.3"
"2003 Q3","58.5"
"2003 Q4","59.2"
"2004 Q1","60.1"
"2004 Q2","59.0"
"2004 Q3","59.7"
"2004 Q4","59.4"
"2005 Q1","60.1"
"2005 Q2","58.9"
"2005 Q3","59.5"
"2005 Q4","58.8"
"2006 Q1","60.1"
"2006 Q2","58.8"
"2006 Q3","59.2"
"2006 Q4","60.7"
"2007 Q1","61.4"
"2007 Q2","59.9"
"2007 Q3","60.6"
"2007 Q4","59.9"
"2008 Q1","60.2"
"2008 Q2","59.2"
"2008 Q3","58.5"
"2008 Q4","58.7"
"2009 Q1","59.1"
"2009 Q2","60.1"
"2009 Q3","59.8"
"2009 Q4","61.1"
"2010 Q1","60.6"
"2010 Q2","60.6"
"2010 Q3","59.9"
"2010 Q4","59.7"
"2011 Q1","60.4"
"2011 Q2","60.2"
"2011 Q3","59.8"
"2011 Q4","59.1"
"2012 Q1","59.4"
"2012 Q2","59.5"
"2012 Q3","58.9"
"2012 Q4","59.0"
"2013 Q1","58.4"
"2013 Q2","59.7"
"2013 Q3","59.4"
"2013 Q4","59.6"
"2014 Q1","59.5"
"2014 Q2","58.6"
"2014 Q3","57.2"
"2014 Q4","57.6"
"2015 Q1","58.1"
"2015 Q2","58.4"
"2015 Q3","59.0"
"2015 Q4","58.4"
"2016 Q1","58.3"
"2016 Q2","58.7"
"2016 Q3","58.3"
"2016 Q4","57.8"
"2017 Q1","57.9"
"2017 Q2","58.5"
"2017 Q3","58.6"
"2017 Q4","57.9"
"2018 Q1","58.7"
"2018 Q2","58.4"
"2018 Q3","58.8"
"2018 Q4","59.1"
"2019 Q1","59.4"
"2019 Q2","59.7"
"2019 Q3","59.0"
