Series,Code
Title,CDID
CG: Other miscellaneous current transfers D.759u: CPSA,A29P
ESA:PC:LIFLOW:Currency and deposits,A4FK
Non-financial corporations sector (S11): Currency and deposits (F.2): Flow: Liability: Current price: £m: Not seasonally adjusted,A4VR
Non-financial corporations sector (S11): Other deposits (F.29): Flow: Liability: Current price: £million: Not seasonally adjusted,A4VS
Households (S.14): Net lending (+) / Net borrowing (-) of the non-financial account (B.9n): Assets: Current price: £m: NSA,A99R
BoP: current account balance as per cent of GDP,AA6H
Households (S.14): Net lending (+) / Net borrowing (-) of the non-financial account (B.9n): Assets: Current price: £m: SA,AA7T
NPISH (S.15): Net lending (+) / Net borrowing (-) of the non-financial account (B.9n): Assets: Current price: £m: NSA,AA7W
NPISH (S.15): Net lending (+) / Net borrowing (-) of the non-financial account (B.9n): Assets: Current price: £m: SA,AAA3
Households (S.14): Gross fixed capital formation (P.51g): Assets: Current price: £m: NSA,AAA4
BoP: FA: Liabs: General Govt.: Overseas holdings of Treasury bills: CP NSA:£m,AARB
BoP: FA: Liabs: Overseas sector finance : notes & coin: CP NSA:£m,AASD
Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: SA,ABJQ
Household final consumption expenditure :National concept CVM SA - £m,ABJR
UK: Total Final Consumption Expenditure: CP NSA,ABKW
Total Final Consumption Expenditure: CP SA,ABKY
Total gross final expenditure (unaligned) - P.3+P.5+P.6 : CP NSA £m,ABMD
Total gross final expenditure (unaligned) - P.3+P.5+P.6:CVM NSA £m,ABME
Total gross final expenditure (aligned) - P.3+P.5+P.6 : CP SA £m,ABMF
Total gross final expenditure (aligned) - P.3+P.5+P.6 : CVM SA £m,ABMG
Gross Domestic Product: chained volume measures: Seasonally adjusted £m,ABMI
Gross Value Added (Average) at basic prices: CP SA £m,ABML
Gross Value Added at basic prices:chained volume measures:Seasonally adjusted £m,ABMM
Gross Capital Formation: Changes in Inventories: CP NSA £m,ABMP
Changes in Inventories CVM NSA £m,ABMQ
UK Gross National Income: Current price: £ million: Not seasonally adjusted,ABMX
Gross National Income: Current price: Seasonally adjusted £m,ABMZ
"UK (S.1): Operating Surplus, gross (B.2g): Current price: £million: Not seasonally adjusted",ABNF
"UK (S.1): Operating Surplus, gross (B.2g): Current price: £million: Seasonally adjusted",ABNG
Final Consumption Expenditure of NPISHs: CVM NSA £m,ABNU
NPISH (S.15): Individual consumption expenditure (P.31): Uses: Current price: £m: NSA,ABNV
Households (S.14): Individual consumption expenditure (P.31) Uses: Current price: £m: NSA,ABPB
Household final consumption expenditure :National concept CVM NAYear NSA £m,ABPF
Household final consumption expenditure: Domestic concept CP NSA  £m,ABQI
Household final consumption expenditure: Domestic concept CVM NAYear NSA £m,ABQJ
Households (S.14): Actual individual consumption (P.41): Uses: Current price: £m: NSA,ABRE
Households (S.14): Actual individual consumption (P.41): Uses: Current price: £m: SA,ABRF
Household final consumption expenditure: Net tourist expenditure CP NSA £m,ABTE
Household final consumption expenditure: Net tourist expenditure CP SA £m,ABTF
Household final consumption expenditure: Net tourist expenditure CVM NAYear NSA £m,ABTG
Household final consumption expenditure :Net tourist expenditure CVM SA £m,ABTH
Households (S.14): Gross fixed capital formation (P.51g): Assets: Current price: £m: SA,ABV7
NPISH (S.15): Gross fixed capital formation (P.51g): Assets: Current price: £m: NSA,ABV8
NPISH (S.15): Gross fixed capital formation (P.51g): Assets: Current price: £m: SA,ABZI
01 Food and non-alcoholic beverages CP NSA £m,ABZV
"NPISH (S.15): Capital taxes, payable (D.91p): Liabilities: Current price: £m: NSA",ACBB
"NPISH (S.15): Capital taxes, payable (D.91p): Liabilities: Current price: £m: SA",ACBD
"NPISH (S.15): Other capital transfers, payable (D.99p): Liabilities: Current price: £m: NSA",ACBE
"NPISH (S.15): Other capital transfers, payable (D.99p): Liabilities: Current price: £m: SA",ACBF
BoP IIP PI Liabilities level CG Treasury bills outstanding NSA £m,ACQJ
LG: Current expenditure: Subsidies: £m CPNSA,ADAK
Local Govt : Uses: Social assistance benefits in cash CP NSA,ADAL
Local Govt : Uses: Social assistance benefits in cash CP SA,ADBF
"""02 Alcoholic beverages, tobacco & narcotics CP NSA £m""",ADFL
03 Clothing and footwear CP NSA £m,ADFP
04 Housing; water; electricity; gas and other fuels CP NSA £m,ADFS
05 Furnishings; household equipment and routine maintenance of the house CP NSA £m,ADFY
06 Health CP NSA £m,ADGP
07 Transport CP NSA £m,ADGT
08 Communication CP NSA £m,ADGX
09 Recreation and culture CP NSA £m,ADGY
10 Education CP NSA £m,ADIE
11 Restaurants and hotels CP NSA £m,ADIF
12 Miscellaneous goods and services CP NSA £m,ADII
01 Food and non-alcoholic beverages CVM NAYear NSA £m,ADIP
"""02 Alcoholic beverages, tobacco & narcotics CVM NAYear NSA £m""",ADIS
Households (S.14): Sector share of gross national income: Per cent: £m: CP: NSA,ADIV
03 Clothing and footwear CVM NAYear NSA £m,ADIW
04 Housing; water; electricity; gas and other fuels CVM NAYear NSA £m,ADIZ
05 Furnishings;household equipment & routine maintenance of the house CVM NAYear £m,ADJF
06 Health CVM NAYear NSA £m,ADJM
07 Transport CVM NAYear NSA £m,ADJQ
08 Communication CVM NAYear NSA £m,ADJU
09 Recreation and culture CVM NAYear NSA £m,ADJV
10 Education CVM NAYear NSA £m,ADMJ
11 Restaurants and hotels CVM NAYear NSA £m,ADMK
12 Miscellaneous goods and services CVM NAYear NSA £m,ADMN
Households (S.14): Sector share of gross national income: Per cent: £m: CP: SA,ADMX
Non-profit institutions serving households (S.15): Sector share of gross national income: Per cent: £m: CP: NSA,ADSY
Non-profit institutions serving households (S.15): Sector share of gross national income: Per cent: £m: CP: SA,ADTI
Households (S.14): Total interest before FISIM allocation (D.41g) Uses: Current price: £m: NSA,AE7P
"Private non-financial corporations (S.1102+S.11003): Investment grants, receivable (D.92r): Current price: £m: NSA",AIBR
BoP: FA: Liabs: Overseas monetary authorities portfolio investment in UK BGS,AING
BoP Inc OI Total Credits NSA £m,AIOP
BoP IIP OI Liabilities level CG total Notes and Coin NSA £m,APME
BoP: TiS: Imports: Travel: Total inc. personal imports of cars: CP NSA,APQA
Trade in Services (TS): Travel: WW: Imports: BOP: CP: SA: £m,APQL
BoP IIP OI Liabs level I&C companies overseas loans to privatised bodies NSA:£m,AQBX
Current Account Credits Canada : SA:£m,ARDY
Total Primary Income Credits Canada: SA:£m,ARFD
Total Primary Income Debits Canada: SA:£m,ARFE
Total Primary Income Balance Canada: SA:£m,ARFF
Total Primary Income Credits United States : SA:£m,ARFG
Total Primary Income Debits United States : SA:£m,ARFH
Total Primary Income Balance United States : SA:£m,ARFI
Total Primary Income Credits Japan : SA:£m,ARFJ
Total Primary Income Debits Japan: SA:£m,ARFK
Total Primary Income Balance Japan : SA:£m,ARFL
Current Account Debits Canada: SA:£m,ARFM
Current Account Balance Canada: SA:£m,ARFN
Current Account Credits United States : SA:£m,ARFO
Current Account Debits United States : SA:£m,ARFP
Current Account Balance United States : SA:£m,ARFQ
Current Account Credits Japan SA:£m,ARFR
Current Account Debits Japan SA:£m,ARFS
Current Account Balance Japan SA:£m,ARFT
Local government (S.1313): Miscellaneous current transfers (D.75): Resource: CP: £m: NSA,AWTO
Local government (S.1313): Miscellaneous current transfers (D.75): Resource: CP: £m: SA,AWVZ
BoP: Current account: Credits: Hong Kong:£m,BFJR
BoP: Current account: Debits: Hong Kong:£m,BFJS
BoP: Current account: Balance: Hong Kong:£m,BFJT
BoP: Total primary income: Credits: Hong Kong :£m,BFJU
BoP: Total primary income: Debits: Hong Kong: £m,BFJV
BoP: Total primary income: Balance: Hong Kong:£m,BFJW
BoP: Current account: Credits: India:£m,BFMY
BoP: Current account: Debits: India:£m,BFMZ
BoP: Current account: Balance: India:£m,BFNA
BoP: Total primary income: Credits: India:£m,BFNB
BoP: Total primary income: Debits: India:£m,BFNC
BoP: Total primary income: Balance: India:£m,BFND
BoP: Current account: Credits: Japan:£m,BFOM
BoP: Current account: Debits: Japan:£m,BFON
BoP: Current account: Balance: Japan:£m,BFOO
BoP: Total primary income: Credits: Japan:£m,BFOP
BoP: Total primry income: Debits: Japan:£m,BFOQ
BoP: Total primary income: Balance: Japan:£m,BFOR
BoP: Current account: Credits: Russia:£m,BFSQ
BoP: Current account: Debits: Russia:£m,BFSR
BoP: Current account: Balance: Russia:£m,BFSS
BoP: Total primary income: Credits: Russia:£m,BFST
BoP: Total primary income: Debits: Russia:£m,BFSU
BoP: Total primary income: Balance: Russia:£m,BFSV
BoP: Current account: Credits: the USA:£m,BFVB
BoP: Current account: Debits: the USA:£m,BFVC
BoP: Current account: Balance: the USA:£m,BFVD
BoP: Total primary income: Credits: the USA:£m,BFVE
BoP: Total primary income: Debits: the USA:£m,BFVF
BoP: Total primary income: Balance: the USA:£m,BFVG
Gross Domestic Product at market prices: CP: NSA £m,BKTL
Gross Domestic Product: CVM: NSA £m,BKVT
International returns Real disposable income CVM NSA Real net nat income at MP,BKWD
International returns Real disposable income CVM NSA Real net nat disposable in,BKWE
Trade in Goods (T): WW: Exports: BOP: CP: SA,BOKG
Trade in Goods (T): WW: Imports: BOP: CP: SA,BOKH
Trade in Goods (T): WW: Balance: BOP: CP: SA,BOKI
Trade in Goods: Unspecified goods (9): WW: Exports: BOP: CP: NSA,BOKJ
Trade in Goods: Oil (33): WW: Exports: BOP: CP: NSA,BOKL
"Trade in Goods: Food, beverages & tobacco (0and1): WW: Exports: BOP: CP: SA",BOPL
Trade in Goods: Basic materials (2and4): WW: Exports: BOP: CP: SA,BOPM
Trade in Goods: Semi-manufactures (5and6): WW: Exports: BOP: CP: SA,BOPO
Trade in Goods: Finished manufactures (7and8): WW: Exports: BOP: CP: SA,BOPP
Trade in Goods: Fuels other than oil (3OF): WW: Exports: BOP: CP: SA,BOQI
Trade in Goods: Unspecified goods (9): WW: Exports: BOP: CP: SA,BOQL
Trade in Goods: Fuels other than oil (3OF): WW: Imports: BOP: CP: SA,BPBI
Trade in Goods: Unspecified goods (9): WW: Imports: BOP: CP: NSA,BQAO
Trade in Goods: Oil (33): WW: Imports: BOP: CP: NSA,BQAQ
"Trade in Goods: Food, beverages & tobacco (0and1): WW: Imports: BOP: CP: SA",BQAR
Trade in Goods: Basic materials (2and4): WW: Imports: BOP: CP: SA,BQAS
Trade in Goods: Semi-manufactures (5and6): WW: Imports: BOP: CP: SA,BQAU
Trade in Goods: Finished manufactures (7and8): WW: Imports: BOP: CP: SA,BQAV
Trade in Goods: Unspecified goods (9): WW: Imports: BOP: CP: SA,BQAW
BOP:IM:CVM:NSA:Total Trade in Goods,BQKN
Trade in Goods (T): WW: Imports: BOP: CVM: SA,BQKO
BOP:EX:CVM:NSA:Total Trade in Goods,BQKP
Trade in Goods (T): WW: Exports: BOP: CVM: SA,BQKQ
Trade in Goods: Unspecified goods (9): WW: Balance: BOP: CP: SA,BQKX
